faq_id,topic,question,answer,country
FAQ001,Account,How do I update my account details?,Go to account settings and update your details.,Australia
FAQ002,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",Canada
FAQ003,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",USA
FAQ004,Orders,How do I cancel my order?,Go to your orders section and click on cancel before dispatch.,India
FAQ005,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,UK
FAQ006,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,Australia
FAQ007,Orders,Can I place an order without creating an account?,"Yes, guest checkout is available.",UK
FAQ008,Products,How can I check product availability?,Product availability is shown on the product page.,Australia
FAQ009,Products,How can I check product availability?,Product availability is shown on the product page.,Australia
FAQ010,Orders,How do I cancel my order?,Go to your orders section and click on cancel before dispatch.,India
FAQ011,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",UK
FAQ012,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,USA
FAQ013,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,India
FAQ014,Account,How do I update my account details?,Go to account settings and update your details.,UK
FAQ015,Products,Are discounts or promo codes available?,"Yes, check our website or app for latest offers.",USA
FAQ016,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,Canada
FAQ017,Shipping,What are the delivery options available?,We offer standard and express delivery options.,Canada
FAQ018,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,UK
FAQ019,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",UK
FAQ020,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,UK
FAQ021,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",Canada
FAQ022,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",Canada
FAQ023,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,Australia
FAQ024,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,UK
FAQ025,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,UK
FAQ026,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,Canada
FAQ027,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",Canada
FAQ028,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,USA
FAQ029,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",Canada
FAQ030,Orders,Can I place an order without creating an account?,"Yes, guest checkout is available.",Australia
FAQ031,Orders,How do I cancel my order?,Go to your orders section and click on cancel before dispatch.,Canada
FAQ032,Products,How can I check product availability?,Product availability is shown on the product page.,USA
FAQ033,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,Australia
FAQ034,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",USA
FAQ035,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,India
FAQ036,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",Australia
FAQ037,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",India
FAQ038,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",India
FAQ039,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",USA
FAQ040,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",USA
FAQ041,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,India
FAQ042,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,India
FAQ043,Products,How can I check product availability?,Product availability is shown on the product page.,Canada
FAQ044,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,India
FAQ045,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",India
FAQ046,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,USA
FAQ047,Account,How do I update my account details?,Go to account settings and update your details.,Australia
FAQ048,Orders,Can I place an order without creating an account?,"Yes, guest checkout is available.",USA
FAQ049,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,USA
FAQ050,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",UK
FAQ051,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,USA
FAQ052,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",USA
FAQ053,Products,Are discounts or promo codes available?,"Yes, check our website or app for latest offers.",Australia
FAQ054,Products,How can I check product availability?,Product availability is shown on the product page.,Canada
FAQ055,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,India
FAQ056,Orders,How can I track my order?,You can track your order using the tracking link sent to your email.,USA
FAQ057,Products,How can I check product availability?,Product availability is shown on the product page.,Australia
FAQ058,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,India
FAQ059,Products,Are discounts or promo codes available?,"Yes, check our website or app for latest offers.",Canada
FAQ060,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,India
FAQ061,Orders,How can I track my order?,You can track your order using the tracking link sent to your email.,Australia
FAQ062,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,India
FAQ063,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",India
FAQ064,Orders,How do I cancel my order?,Go to your orders section and click on cancel before dispatch.,UK
FAQ065,Account,How do I update my account details?,Go to account settings and update your details.,India
FAQ066,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",Australia
FAQ067,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",Canada
FAQ068,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,USA
FAQ069,Orders,How do I cancel my order?,Go to your orders section and click on cancel before dispatch.,USA
FAQ070,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",India
FAQ071,Returns,What is the return policy?,You can return products within 7 days if they are unused and in original condition.,UK
FAQ072,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,USA
FAQ073,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",USA
FAQ074,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,Canada
FAQ075,Products,How can I check product availability?,Product availability is shown on the product page.,Australia
FAQ076,Orders,Can I place an order without creating an account?,"Yes, guest checkout is available.",USA
FAQ077,Account,How do I update my account details?,Go to account settings and update your details.,India
FAQ078,Returns,How can I return a product?,You can initiate a return from your account within 7 days of delivery.,Australia
FAQ079,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,USA
FAQ080,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",USA
FAQ081,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,India
FAQ082,Products,How can I check product availability?,Product availability is shown on the product page.,USA
FAQ083,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,India
FAQ084,Shipping,What are the delivery options available?,We offer standard and express delivery options.,India
FAQ085,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,Australia
FAQ086,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,USA
FAQ087,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,Canada
FAQ088,Account,How do I update my account details?,Go to account settings and update your details.,Canada
FAQ089,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",USA
FAQ090,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,Canada
FAQ091,Account,How do I update my account details?,Go to account settings and update your details.,USA
FAQ092,Orders,How can I track my order?,You can track your order using the tracking link sent to your email.,Australia
FAQ093,Products,How can I check product availability?,Product availability is shown on the product page.,India
FAQ094,Returns,What is the return policy?,You can return products within 7 days if they are unused and in original condition.,Canada
FAQ095,Shipping,What are the delivery options available?,We offer standard and express delivery options.,Canada
FAQ096,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",Canada
FAQ097,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",India
FAQ098,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,India
FAQ099,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",UK
FAQ100,Orders,Can I place an order without creating an account?,"Yes, guest checkout is available.",USA
FAQ101,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",UK
FAQ102,Shipping,What are the delivery options available?,We offer standard and express delivery options.,Canada
FAQ103,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",UK
FAQ104,Account,How do I update my account details?,Go to account settings and update your details.,USA
FAQ105,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",India
FAQ106,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",USA
FAQ107,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,USA
FAQ108,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,Australia
FAQ109,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,USA
FAQ110,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,India
FAQ111,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,Canada
FAQ112,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,USA
FAQ113,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",India
FAQ114,Account,How do I update my account details?,Go to account settings and update your details.,Canada
FAQ115,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,UK
FAQ116,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",Canada
FAQ117,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",India
FAQ118,Returns,How can I return a product?,You can initiate a return from your account within 7 days of delivery.,UK
FAQ119,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,USA
